Day,Time,Group,Metric,Unit,Amount
2025-12-24,,Device Data,"Sleep Score (Garmin)",%,75.0
2025-12-24,7:47 AM,Manual Data,"Stool",Bristol Scale,4.0
2025-12-24,10:32 AM,Manual Data,"Stool",Bristol Scale,4.0
2025-12-24,9:22 PM,Manual Data,"Stool",Bristol Scale,4.0
2025-12-24,10:11 PM,Device Data,"Sleep (Garmin)",hr:min,7.63333
2025-12-25,,Device Data,"Sleep Score (Garmin)",%,75.0
2025-12-25,8:02 AM,Manual Data,"Stool",Bristol Scale,4.0
2025-12-25,2:35 PM,Manual Data,"Stool",Bristol Scale,4.0
2025-12-25,9:55 PM,Device Data,"Sleep (Garmin)",hr:min,8.1
2025-12-26,,Device Data,"Sleep Score (Garmin)",%,72.0
2025-12-26,9:28 AM,Manual Data,"Stool",Bristol Scale,4.0
2025-12-26,1:00 PM,Manual Data,"Stool",Bristol Scale,4.0
2025-12-26,10:05 PM,Device Data,"Sleep (Garmin)",hr:min,8.18833
2025-12-27,,Device Data,"Sleep Score (Garmin)",%,76.0
2025-12-27,11:34 AM,Manual Data,"Stool",Bristol Scale,3.0
2025-12-27,9:48 PM,Device Data,"Sleep (Garmin)",hr:min,8.71667
2025-12-28,,Device Data,"Sleep Score (Garmin)",%,65.0
2025-12-28,7:55 AM,Manual Data,"Stool",Bristol Scale,4.0
2025-12-28,1:18 PM,Manual Data,"Stool",Bristol Scale,4.0
2025-12-28,8:06 PM,Manual Data,"Stool",Bristol Scale,4.0
2025-12-28,10:12 PM,Device Data,"Sleep (Garmin)",hr:min,7.81667
2025-12-29,,Device Data,"Sleep Score (Garmin)",%,68.0
2025-12-29,8:32 AM,Manual Data,"Stool",Bristol Scale,4.0
2025-12-29,10:11 PM,Device Data,"Sleep (Garmin)",hr:min,6.85
2025-12-30,,Device Data,"Sleep Score (Garmin)",%,62.0
2025-12-30,10:39 PM,Device Data,"Sleep (Garmin)",hr:min,7.71667
2025-12-31,,Device Data,"Sleep Score (Garmin)",%,55.0
2025-12-31,8:29 AM,Manual Data,"Stool",Bristol Scale,4.0
2025-12-31,11:01 AM,Manual Data,"Stool",Bristol Scale,4.0
2025-12-31,10:24 PM,Device Data,"Sleep (Garmin)",hr:min,7.86667
2026-01-01,,Device Data,"Sleep Score (Garmin)",%,69.0
2026-01-01,11:52 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-01,1:56 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-01,10:49 PM,Device Data,"Sleep (Garmin)",hr:min,7.28333
2026-01-02,,Device Data,"Sleep Score (Garmin)",%,84.0
2026-01-02,10:49 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-02,9:55 PM,Device Data,"Sleep (Garmin)",hr:min,7.88333
2026-01-03,,Device Data,"Sleep Score (Garmin)",%,81.0
2026-01-03,9:18 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-03,5:39 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-03,8:17 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-03,10:29 PM,Device Data,"Sleep (Garmin)",hr:min,7.23333
2026-01-04,,Device Data,"Sleep Score (Garmin)",%,77.0
2026-01-04,8:00 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-04,9:48 PM,Device Data,"Sleep (Garmin)",hr:min,8.2425
2026-01-05,,Device Data,"Sleep Score (Garmin)",%,78.0
2026-01-05,8:46 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-05,1:33 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-05,9:54 PM,Device Data,"Sleep (Garmin)",hr:min,8.13333
2026-01-06,,Device Data,"Sleep Score (Garmin)",%,74.0
2026-01-06,8:16 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-06,8:08 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-06,10:26 PM,Device Data,"Sleep (Garmin)",hr:min,7.61667
2026-01-07,,Device Data,"Sleep Score (Garmin)",%,76.0
2026-01-07,10:45 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-07,10:11 PM,Device Data,"Sleep (Garmin)",hr:min,7.46667
2026-01-08,,Device Data,"Sleep Score (Garmin)",%,75.0
2026-01-08,8:25 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-08,10:18 PM,Device Data,"Sleep (Garmin)",hr:min,8.3
2026-01-09,,Device Data,"Sleep Score (Garmin)",%,79.0
2026-01-09,9:18 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-09,4:08 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-09,9:58 PM,Device Data,"Sleep (Garmin)",hr:min,7.66667
2026-01-10,,Device Data,"Sleep Score (Garmin)",%,71.0
2026-01-10,1:00 PM,Manual Data,"Stool",Bristol Scale,3.0
2026-01-10,10:15 PM,Device Data,"Sleep (Garmin)",hr:min,7.03333
2026-01-11,,Device Data,"Sleep Score (Garmin)",%,70.0
2026-01-11,8:42 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-11,6:44 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-11,10:06 PM,Device Data,"Sleep (Garmin)",hr:min,8.05
2026-01-12,,Device Data,"Sleep Score (Garmin)",%,73.0
2026-01-12,8:40 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-12,10:05 PM,Device Data,"Sleep (Garmin)",hr:min,7.15
2026-01-13,,Device Data,"Sleep Score (Garmin)",%,75.0
2026-01-13,7:45 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-13,12:44 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-13,8:28 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-13,10:04 PM,Device Data,"Sleep (Garmin)",hr:min,8.51667
2026-01-14,,Device Data,"Sleep Score (Garmin)",%,67.0
2026-01-14,8:10 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-14,10:00 PM,Device Data,"Sleep (Garmin)",hr:min,7.81667
2026-01-15,,Device Data,"Sleep Score (Garmin)",%,77.0
2026-01-15,3:29 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-15,10:05 PM,Device Data,"Sleep (Garmin)",hr:min,8.76194
2026-01-16,,Device Data,"Sleep Score (Garmin)",%,69.0
2026-01-16,10:21 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-16,10:23 PM,Device Data,"Sleep (Garmin)",hr:min,6.8
2026-01-17,,Device Data,"Sleep Score (Garmin)",%,74.0
2026-01-17,8:12 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-17,11:34 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-17,11:04 PM,Device Data,"Sleep (Garmin)",hr:min,7.4
2026-01-18,,Device Data,"Sleep Score (Garmin)",%,80.0
2026-01-18,12:01 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-18,10:01 PM,Device Data,"Sleep (Garmin)",hr:min,8.16667
2026-01-19,,Device Data,"Sleep Score (Garmin)",%,80.0
2026-01-19,8:07 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-19,10:41 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-19,10:09 PM,Device Data,"Sleep (Garmin)",hr:min,7.98333
2026-01-20,,Device Data,"Sleep Score (Garmin)",%,82.0
2026-01-20,8:30 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-20,6:51 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-20,10:02 PM,Device Data,"Sleep (Garmin)",hr:min,7.95917
2026-01-21,,Device Data,"Sleep Score (Garmin)",%,63.0
2026-01-21,8:23 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-21,12:57 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-21,10:05 PM,Device Data,"Sleep (Garmin)",hr:min,7.56444
2026-01-22,,Device Data,"Sleep Score (Garmin)",%,78.0
2026-01-22,8:03 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-22,2:24 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-22,10:07 PM,Device Data,"Sleep (Garmin)",hr:min,7.95
2026-01-23,,Device Data,"Sleep Score (Garmin)",%,73.0
2026-01-23,10:26 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-23,7:50 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-23,9:59 PM,Device Data,"Sleep (Garmin)",hr:min,7.4475
2026-01-24,,Device Data,"Sleep Score (Garmin)",%,54.0
2026-01-24,7:50 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-24,4:56 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-24,9:55 PM,Device Data,"Sleep (Garmin)",hr:min,7.51583
2026-01-25,,Device Data,"Sleep Score (Garmin)",%,78.0
2026-01-25,1:54 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-25,10:23 PM,Device Data,"Sleep (Garmin)",hr:min,8.11667
2026-01-26,,Device Data,"Sleep Score (Garmin)",%,75.0
2026-01-26,8:00 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-26,11:57 AM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-26,6:59 PM,Manual Data,"Stool",Bristol Scale,4.0
2026-01-26,9:58 PM,Device Data,"Sleep (Garmin)",hr:min,6.9
2026-01-27,,Device Data,"Sleep Score (Garmin)",%,52.0
