Date,Energy (kcal),Potassium (mg),Sodium (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Protein (g),Completed
2025-12-24,2486.99,2737.57,4421.45,193.42,59.84,52.10,30.90,9.77,120.49,149.04,261.83,25.33,16.51,49.78,1.10,1.18,12.83,146.75,true
2025-12-25,2071.03,2154.62,3021.06,156.81,60.65,3.71,31.51,6.80,81.83,117.57,335.25,21.33,9.30,38.73,0.11,0.18,6.32,154.24,true
2025-12-26,2220.89,2483.84,2627.21,171.00,59.65,3.76,34.16,9.76,96.02,122.30,409.39,24.10,10.25,38.90,0.12,0.21,6.76,166.71,true
2025-12-27,2106.99,2429.50,2647.37,164.30,65.28,3.76,30.47,8.06,86.50,117.75,409.39,24.60,11.75,35.36,0.12,0.21,6.76,163.70,true
2025-12-28,1957.05,2174.15,1772.66,165.35,55.65,3.57,49.55,8.80,93.91,109.55,261.98,28.34,13.89,33.65,0.11,0.20,6.40,131.20,true
2025-12-29,2137.61,2299.70,4730.56,191.18,56.85,0.57,39.00,25.22,123.08,122.13,223.28,23.80,22.22,34.09,0.01,0.06,4.26,127.55,true
2025-12-30,2224.84,1820.78,3263.70,197.54,109.79,0.29,22.72,8.34,69.69,146.62,498.06,25.88,12.31,47.86,0.01,0.12,5.40,133.78,true
2025-12-31,2184.86,2978.16,4179.22,149.47,52.94,0.29,41.32,26.56,83.48,139.91,221.69,21.81,10.89,48.44,0.76,0.05,4.09,128.59,true
2026-01-01,2258.39,3966.97,5041.00,182.59,51.45,0.29,35.92,24.64,113.09,129.58,270.60,14.81,6.39,43.00,0.01,0.05,4.09,137.43,true
2026-01-02,2128.43,3936.97,5015.94,183.59,58.45,0.29,35.92,24.64,107.09,120.08,265.56,15.31,7.89,43.00,0.01,0.05,4.09,135.43,false
2026-01-03,2069.42,3159.48,3876.52,182.84,53.45,0.29,34.52,21.24,111.34,118.13,171.36,21.81,10.89,37.13,0.01,0.05,4.09,119.53,true
2026-01-04,2058.35,4546.89,4285.94,168.59,55.44,0.29,31.92,20.66,95.10,116.58,265.56,14.81,6.39,41.50,0.01,0.05,4.09,133.44,true
2026-01-05,2158.35,4645.89,4350.94,178.59,57.44,0.29,35.92,24.66,103.10,123.58,265.56,18.31,7.89,43.50,0.01,0.05,4.09,136.44,true
2026-01-06,2013.24,3762.50,3281.52,175.54,57.79,0.29,33.20,19.94,99.70,118.18,171.36,25.31,12.39,36.16,0.01,0.05,4.09,117.55,true
2026-01-07,1686.47,2616.76,1908.71,139.65,48.12,0.29,18.60,5.84,78.48,102.51,127.49,14.81,6.39,36.09,0.76,0.05,4.09,90.64,false
2026-01-08,1884.71,1806.26,2598.68,163.54,99.78,0.29,19.22,5.84,50.70,117.12,513.11,18.88,7.81,37.86,0.01,0.12,5.40,136.78,true
2026-01-09,2160.56,2289.42,1919.41,165.72,51.44,0.29,20.42,9.16,96.23,131.39,228.23,25.36,7.32,44.19,1.11,0.29,4.56,128.70,true
2026-01-10,2104.46,2213.52,1919.41,162.42,49.79,0.29,19.10,7.84,94.58,126.44,228.23,25.36,7.32,41.22,1.11,0.29,4.56,127.71,true
2026-01-11,2017.91,2087.53,1994.50,172.19,72.37,1.10,30.99,7.84,86.70,108.48,298.09,26.34,15.49,33.71,0.20,0.23,6.85,149.22,true
