Date,Energy (kcal),Potassium (mg),Sodium (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Protein (g),Completed
DATEKEY,NUM,IGNORE,IGNORE,IGNORE,IGNORE,IGNORE,IGNORE,IGNORE,NUM,NUM,IGNORE,IGNORE,IGNORE,IGNORE,IGNORE,IGNORE,IGNORE,NUM,IGNORE
,,,,,,,,,,,,,,,,,,,
12/24/2025,2486.99,2737.57,4421.45,193.42,59.84,52.1,30.9,9.77,120.49,149.04,261.83,25.33,16.51,49.78,1.1,1.18,12.83,146.75,TRUE
12/25/2025,2071.03,2154.62,3021.06,156.81,60.65,3.71,31.51,6.8,81.83,117.57,335.25,21.33,9.3,38.73,0.11,0.18,6.32,154.24,TRUE
12/26/2025,2220.89,2483.84,2627.21,171,59.65,3.76,34.16,9.76,96.02,122.3,409.39,24.1,10.25,38.9,0.12,0.21,6.76,166.71,TRUE
12/27/2025,2106.99,2429.5,2647.37,164.3,65.28,3.76,30.47,8.06,86.5,117.75,409.39,24.6,11.75,35.36,0.12,0.21,6.76,163.7,TRUE
12/28/2025,1957.05,2174.15,1772.66,165.35,55.65,3.57,49.55,8.8,93.91,109.55,261.98,28.34,13.89,33.65,0.11,0.2,6.4,131.2,TRUE
12/29/2025,2137.61,2299.7,4730.56,191.18,56.85,0.57,39,25.22,123.08,122.13,223.28,23.8,22.22,34.09,0.01,0.06,4.26,127.55,TRUE
12/30/2025,2224.84,1820.78,3263.7,197.54,109.79,0.29,22.72,8.34,69.69,146.62,498.06,25.88,12.31,47.86,0.01,0.12,5.4,133.78,TRUE
12/31/2025,2184.86,2978.16,4179.22,149.47,52.94,0.29,41.32,26.56,83.48,139.91,221.69,21.81,10.89,48.44,0.76,0.05,4.09,128.59,TRUE
1/1/2026,2258.39,3966.97,5041,182.59,51.45,0.29,35.92,24.64,113.09,129.58,270.6,14.81,6.39,43,0.01,0.05,4.09,137.43,TRUE
1/2/2026,2128.43,3936.97,5015.94,183.59,58.45,0.29,35.92,24.64,107.09,120.08,265.56,15.31,7.89,43,0.01,0.05,4.09,135.43,FALSE
