Date,Overnight HRV,Baseline,7d Avg
Dec 24,32ms,32ms - 38ms,35ms
Dec 25,28ms,32ms - 38ms,33ms
Dec 26,31ms,32ms - 38ms,33ms
Dec 27,33ms,32ms - 38ms,33ms
Dec 28,33ms,32ms - 38ms,32ms
Dec 29,29ms,32ms - 38ms,31ms
Dec 30,35ms,33ms - 38ms,32ms
Dec 31,36ms,32ms - 38ms,32ms
Jan 1,28ms,32ms - 38ms,32ms
Jan 2,37ms,32ms - 38ms,33ms
Jan 3,39ms,32ms - 38ms,34ms
Jan 4,35ms,32ms - 38ms,34ms
Jan 5,35ms,32ms - 38ms,35ms
Jan 6,33ms,32ms - 38ms,35ms
Jan 7,35ms,32ms - 38ms,35ms
Jan 8,37ms,32ms - 38ms,36ms
Jan 9,40ms,32ms - 38ms,36ms
Jan 10,39ms,32ms - 38ms,36ms
Jan 11,42ms,32ms - 38ms,37ms
Jan 12,42ms,32ms - 39ms,38ms
Jan 13,41ms,32ms - 38ms,39ms
Jan 14,34ms,32ms - 38ms,39ms
Jan 15,41ms,32ms - 39ms,40ms
Jan 16,33ms,32ms - 39ms,39ms
Jan 17,35ms,32ms - 39ms,38ms
Jan 18,35ms,32ms - 39ms,37ms
Jan 19,35ms,32ms - 40ms,36ms
Jan 20,41ms,32ms - 40ms,36ms
