Intensity Minutes
,Actual,Value
2025-12-29,103,700
2025-12-30,123,700
2025-12-31,161,700
2026-01-01,132,700
2026-01-02,141,700
2026-01-03,148,700
2026-01-04,137,700
2026-01-05,198,700
2026-01-06,178,700
2026-01-07,139,700
2026-01-08,172,700
2026-01-09,128,700
2026-01-10,43,700
2026-01-11,79,700
2026-01-12,145,700
2026-01-13,120,700
2026-01-14,55,700
2026-01-15,171,700
2026-01-16,128,700
2026-01-17,215,700
2026-01-18,86,700
2026-01-19,112,700
2026-01-20,130,700
2026-01-21,137,700
2026-01-22,152,700
2026-01-23,138,700
2026-01-24,101,700
2026-01-25,234,700
