Sleep Score 4 Weeks,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,HRV Status,Quality,Duration,Sleep Need,Bedtime,Wake Time
2026-01-20,82,54,46,94.74,14.15,36,Good,7h 57min,7h 0min,10:02 PM,6:33 AM
2026-01-19,80,57,27,95.12,16.11,36,Good,7h 59min,7h 0min,10:09 PM,6:10 AM
2026-01-18,80,56,42,93.62,15.98,37,Good,8h 10min,7h 10min,10:01 PM,6:23 AM
2026-01-17,74,57,27,94.39,15.83,38,Fair,7h 24min,7h 30min,11:04 PM,6:49 AM
2026-01-16,69,60,29,95.04,15.29,39,Fair,6h 48min,7h 30min,10:23 PM,5:29 AM
2026-01-15,77,58,30,94.28,15.58,40,Fair,8h 45min,7h 30min,10:05 PM,7:05 AM
2026-01-14,67,59,32,95.3,15.79,39,Fair,7h 49min,7h 30min,10:00 PM,6:26 AM
2026-01-13,75,56,37,94.6,15.57,39,Fair,8h 31min,7h 30min,10:04 PM,6:59 AM
2026-01-12,73,56,27,95.82,16.25,38,Fair,7h 9min,7h 10min,10:05 PM,5:41 AM
2026-01-11,70,54,34,95.46,15.02,37,Fair,8h 3min,7h 30min,10:06 PM,6:49 AM
2026-01-10,71,55,42,95.98,14.86,36,Fair,7h 2min,7h 30min,10:15 PM,5:57 AM
2026-01-09,79,55,43,96.07,15.67,36,Fair,7h 40min,7h 30min,9:58 PM,5:54 AM
2026-01-08,75,59,25,95.36,15.96,36,Fair,8h 18min,7h 0min,10:18 PM,7:00 AM
2026-01-07,76,59,34,94.43,16.69,35,Fair,7h 28min,7h 0min,10:11 PM,5:57 AM
2026-01-06,74,59,32,94.35,16.06,35,Fair,7h 37min,7h 30min,10:26 PM,6:14 AM
2026-01-05,78,57,35,95.57,15.75,35,Fair,8h 8min,7h 30min,9:54 PM,6:11 AM
2026-01-04,77,56,36,94.71,15.95,34,Fair,8h 14min,7h 30min,9:48 PM,6:19 AM
2026-01-03,81,56,39,94.62,15.45,34,Good,7h 14min,7h 10min,10:29 PM,5:55 AM
2026-01-02,84,55,41,94.82,16.24,33,Good,7h 53min,7h 0min,9:55 PM,6:01 AM
2026-01-01,69,57,29,95.71,17.95,32,Fair,7h 17min,7h 30min,10:49 PM,6:19 AM
2025-12-31,55,57,32,94.43,15.67,32,Poor,7h 52min,7h 50min,10:24 PM,7:21 AM
2025-12-30,62,61,21,94.5,17.02,32,Fair,7h 43min,7h 50min,10:39 PM,6:47 AM
2025-12-29,68,60,28,95.12,17.71,31,Fair,6h 51min,7h 30min,10:11 PM,5:20 AM
2025-12-28,65,59,28,94.65,16.77,32,Fair,7h 49min,7h 30min,10:12 PM,6:29 AM
2025-12-27,76,57,35,94.9,17.35,33,Fair,8h 43min,7h 30min,9:48 PM,6:54 AM
2025-12-26,72,56,35,96.34,17.85,33,Fair,8h 11min,7h 30min,10:05 PM,6:55 AM
2025-12-25,75,56,44,95.62,17.2,33,Fair,8h 6min,7h 30min,9:55 PM,6:40 AM
2025-12-24,75,57,34,95.18,17.57,35,Fair,7h 38min,7h 30min,10:11 PM,6:28 AM
