Sleep Score 4 Weeks,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,HRV Status,Quality,Duration,Sleep Need,Bedtime,Wake Time
2026-02-17,77,61,38,95.68,16.98,35,Fair,7h 54min,7h 30min,9:58 PM,6:03 AM
2026-02-16,67,59,26,96.25,17.1,34,Fair,7h 4min,7h 30min,10:12 PM,5:32 AM
2026-02-15,76,60,28,95.49,17.9,34,Fair,7h 48min,7h 30min,9:53 PM,5:59 AM
2026-02-14,78,57,33,96.12,14.75,34,Fair,7h 51min,7h 30min,10:31 PM,7:01 AM
2026-02-13,76,59,35,95.13,16.48,34,Fair,7h 55min,7h 30min,9:56 PM,6:22 AM
2026-02-12,72,56,35,95.43,17.1,34,Fair,7h 59min,7h 30min,10:22 PM,6:53 AM
2026-02-11,80,58,40,94.54,17.1,34,Good,7h 1min,7h 30min,11:03 PM,6:28 AM
2026-02-10,68,61,31,94.57,16.96,34,Fair,8h 11min,7h 0min,10:06 PM,6:32 AM
2026-02-09,76,58,36,96.22,16.94,34,Fair,8h 14min,7h 30min,9:52 PM,6:22 AM
2026-02-08,55,61,18,95.32,18.86,34,Poor,6h 40min,7h 0min,10:20 PM,5:19 AM
2026-02-07,65,57,27,94.62,16.61,35,Fair,7h 2min,8h 0min,10:11 PM,5:28 AM
2026-02-06,63,59,17,95.89,18.01,36,Fair,6h 34min,7h 30min,11:04 PM,6:08 AM
2026-02-05,86,57,51,95.5,15,36,Good,7h 48min,7h 30min,10:09 PM,6:16 AM
2026-02-04,67,58,28,96.84,16.77,36,Fair,7h 48min,7h 30min,9:40 PM,6:05 AM
2026-02-03,76,59,37,95.75,16.19,36,Fair,7h 42min,7h 30min,10:06 PM,6:07 AM
2026-02-02,65,58,38,95.25,16.69,35,Fair,7h 50min,7h 30min,9:59 PM,6:26 AM
2026-02-01,69,58,23,96.43,14.92,35,Fair,8h 10min,7h 50min,10:01 PM,6:39 AM
2026-01-31,69,59,36,96.38,16.67,34,Fair,7h 53min,7h 30min,9:59 PM,6:36 AM
2026-01-30,80,57,43,93.07,14.54,33,Good,8h 31min,8h 0min,9:48 PM,6:41 AM
2026-01-29,75,54,38,95.12,14.54,33,Fair,8h 36min,7h 30min,10:04 PM,7:02 AM
2026-01-28,70,56,34,95.38,15.81,32,Fair,7h 37min,8h 10min,9:50 PM,6:05 AM
2026-01-27,52,58,28,95.16,16.91,33,Poor,8h 27min,8h 40min,9:41 PM,7:09 AM
2026-01-26,75,58,31,94.45,16.76,34,Fair,6h 54min,7h 30min,9:58 PM,5:17 AM
2026-01-25,78,58,40,95.43,15.86,34,Fair,8h 7min,7h 30min,10:23 PM,6:42 AM
2026-01-24,54,61,23,94.23,16.9,35,Poor,7h 30min,7h 30min,9:55 PM,6:18 AM
2026-01-23,73,58,40,95.22,16.69,36,Fair,7h 26min,7h 30min,9:59 PM,6:13 AM
2026-01-22,78,59,33,95.11,17.56,35,Fair,7h 57min,7h 0min,10:07 PM,6:19 AM
2026-01-21,63,57,40,95.29,16.5,36,Fair,7h 33min,7h 10min,10:05 PM,6:08 AM
